cathode TotalCurrent(SSE_n44_des) X,cathode TotalCurrent(SSE_n44_des) Y,cathode TotalCurrent(SSE_n45_des) X,cathode TotalCurrent(SSE_n45_des) Y,cathode TotalCurrent(SSE_n47_des) X,cathode TotalCurrent(SSE_n47_des) Y,cathode TotalCurrent(SSE_n48_des) X,cathode TotalCurrent(SSE_n48_des) Y
8.4866932e-12,2.6427647e-05,8.4866932e-12,2.6361323e-05,8.4866932e-12,2.585993e-05,8.4866932e-12,2.6499959e-05
8.5866932e-12,2.8091644e-05,8.5866932e-12,2.8024297e-05,8.5866932e-12,2.7496545e-05,8.5866932e-12,2.8214338e-05
8.6866932e-12,2.9792514e-05,8.6866932e-12,2.972468e-05,8.6866932e-12,2.9170874e-05,8.6866932e-12,2.9974644e-05
8.7866932e-12,3.1524665e-05,8.7866932e-12,3.1456959e-05,8.7866932e-12,3.0877603e-05,8.7866932e-12,3.1776154e-05
8.8866932e-12,3.3282017e-05,8.8866932e-12,3.3215133e-05,8.8866932e-12,3.2610939e-05,8.8866932e-12,3.3613657e-05
8.9866932e-12,3.5058044e-05,8.9866932e-12,3.4992754e-05,8.9866932e-12,3.4364649e-05,8.9866932e-12,3.5481481e-05
9.0866932e-12,3.6845821e-05,9.0866932e-12,3.6782981e-05,9.0866932e-12,3.6132105e-05,9.0866932e-12,3.7373532e-05
9.1866932e-12,3.8638089e-05,9.1866932e-12,3.8578629e-05,9.1866932e-12,3.7906339e-05,9.1866932e-12,3.928333e-05
9.2866932e-12,4.0427315e-05,9.2866932e-12,4.0372241e-05,9.2866932e-12,3.9680104e-05,9.2866932e-12,4.1204067e-05
9.3866932e-12,4.2205768e-05,9.3866932e-12,4.2156155e-05,9.3866932e-12,4.144594e-05,9.3866932e-12,4.3128652e-05
9.4866932e-12,4.3965596e-05,9.4866932e-12,4.3922583e-05,9.4866932e-12,4.3196251e-05,9.4866932e-12,4.504978e-05
9.5866932e-12,4.5698909e-05,9.5866932e-12,4.5663689e-05,9.5866932e-12,4.4923377e-05,9.5866932e-12,4.6959992e-05
9.6866932e-12,4.7397864e-05,9.6866932e-12,4.7371679e-05,9.6866932e-12,4.661968e-05,9.6866932e-12,4.8851746e-05
9.7866932e-12,4.9054755e-05,9.7866932e-12,4.9038879e-05,9.7866932e-12,4.8277621e-05,9.7866932e-12,5.0717485e-05
9.8866932e-12,5.0662093e-05,9.8866932e-12,5.0657827e-05,9.8866932e-12,4.9889846e-05,9.8866932e-12,5.2549716e-05
9.9866932e-12,5.2212702e-05,9.9866932e-12,5.2221352e-05,9.9866932e-12,5.1449266e-05,9.9866932e-12,5.4341076e-05
1.0086693e-11,5.3699788e-05,1.0086693e-11,5.3722661e-05,1.0086693e-11,5.2949135e-05,1.0086693e-11,5.6084411e-05
1.0186693e-11,5.5117023e-05,1.0186693e-11,5.5155404e-05,1.0186693e-11,5.4383123e-05,1.0186693e-11,5.777284e-05
