EventID,ParticleName,IncidentEnergy_keV,TotalEdep_keV,MaxDepthSiC_um,TrackLength_mm,NumSteps,NumSecondaries,MeanEdepPerStep_keV,EdepStdDev_keV,ParticleStopped,FinalKineticEnergy_keV,EnergyEscapeFraction,BraggPeakDepth_um,BraggPeakIntensity_keV,SecondaryTypes
168,e-,100.000000,100.000000,43.405659,0.060934,15,0,6.666667,4.876648,true,0.000000,0.000000,43.405659,17.767696,
169,e-,100.000000,100.000000,18.712800,0.055183,13,0,7.692308,5.493869,true,0.000000,0.000000,16.773141,23.578427,
170,e-,100.000000,100.000000,32.117839,0.056374,14,0,7.142857,5.077690,true,-0.000000,-0.000000,29.945770,22.146217,
171,e-,100.000000,100.000000,18.908059,0.057575,14,0,7.142857,5.268927,true,-0.000000,-0.000000,7.975868,20.848778,
172,e-,100.000000,100.000000,15.310241,0.059040,18,0,5.555556,3.065811,true,0.000000,0.000000,0.890975,14.443050,
173,e-,100.000000,100.000000,22.189198,0.036613,10,0,10.000000,8.011395,true,-0.000000,-0.000000,13.274031,29.160114,
174,e-,100.000000,100.000000,36.587027,0.054782,13,0,7.692308,5.950063,true,0.000000,0.000000,36.020136,23.326911,
175,e-,100.000000,100.000000,22.062897,0.058589,18,0,5.555556,5.303764,true,0.000000,0.000000,22.062897,21.346205,
176,e-,100.000000,100.000000,25.209526,0.059580,14,0,7.142857,5.246833,true,0.000000,0.000000,25.209526,24.065204,
177,e-,100.000000,100.000000,26.056034,0.059392,14,0,7.142857,5.813732,true,0.000000,0.000000,26.056034,22.839335,
178,e-,100.000000,100.000000,29.036288,0.056768,15,0,6.666667,5.027408,true,-0.000000,-0.000000,28.970516,22.737969,
179,e-,100.000000,100.000000,29.943638,0.045010,11,0,9.090909,8.737395,true,-0.000000,-0.000000,28.738489,29.961607,
180,e-,100.000000,100.000000,18.514889,0.052247,13,0,7.692308,4.640108,true,0.000000,0.000000,16.850220,15.674959,
181,e-,100.000000,100.000000,18.754397,0.039764,10,0,10.000000,7.531449,true,0.000000,0.000000,6.387470,25.099789,
182,e-,100.000000,100.000000,32.983550,0.063029,15,0,6.666667,4.842347,true,-0.000000,-0.000000,32.983550,18.246303,
183,e-,100.000000,100.000000,19.028473,0.056845,14,0,7.142857,4.004533,true,0.000000,0.000000,6.825218,14.976652,
184,e-,100.000000,100.000000,27.430218,0.044250,11,0,9.090909,7.446612,true,0.000000,0.000000,27.430218,21.044415,
185,e-,100.000000,100.000000,18.696027,0.044550,11,0,9.090909,7.479740,true,0.000000,0.000000,17.411182,24.285192,
186,e-,100.000000,23.198738,9.463884,0.026436,10,0,2.319874,1.045436,false,76.801262,0.768013,5.386296,4.923634,
187,e-,100.000000,100.000000,23.455537,0.047863,12,0,8.333333,9.637215,true,0.000000,0.000000,23.338434,38.096443,
188,e-,100.000000,100.000000,35.080084,0.054446,14,0,7.142857,3.999665,true,0.000000,0.000000,35.080084,13.962581,
189,e-,100.000000,100.000000,9.387600,0.042904,13,0,7.692308,7.613855,true,-0.000000,-0.000000,5.830326,22.336023,
190,e-,100.000000,100.000000,40.736956,0.061172,15,0,6.666667,6.128481,true,-0.000000,-0.000000,40.736069,24.018550,
191,e-,100.000000,100.000000,22.946267,0.063183,15,0,6.666667,5.088586,true,-0.000000,-0.000000,9.611960,20.050689,
192,e-,100.000000,100.000000,38.991809,0.056034,14,0,7.142857,5.092371,true,-0.000000,-0.000000,38.991809,19.237110,
193,e-,100.000000,100.000000,28.600375,0.059744,14,0,7.142857,5.765158,true,-0.000000,-0.000000,28.029834,21.217599,
194,e-,100.000000,100.000000,15.922032,0.058625,14,0,7.142857,4.895893,true,-0.000000,-0.000000,9.219654,19.657713,
195,e-,100.000000,100.000000,38.798781,0.066201,16,0,6.250000,4.598735,true,-0.000000,-0.000000,38.793942,20.438018,
196,e-,100.000000,100.000000,41.515173,0.058508,14,0,7.142857,5.761128,true,0.000000,0.000000,40.863804,21.651611,
197,e-,100.000000,100.000000,33.443764,0.058036,14,0,7.142857,7.740443,true,0.000000,0.000000,29.751611,30.314216,
198,e-,100.000000,100.000000,18.997770,0.051177,13,0,7.692308,7.086781,true,0.000000,0.000000,9.010441,27.186626,
199,e-,100.000000,100.000000,37.463878,0.068958,16,0,6.250000,5.012048,true,0.000000,0.000000,36.201232,22.711889,
200,e-,100.000000,69.465118,9.424848,0.048742,15,0,4.631008,2.706899,false,30.534882,0.305349,5.090260,11.689780,
201,e-,100.000000,100.000000,22.352848,0.060444,14,0,7.142857,5.695765,true,-0.000000,-0.000000,17.836792,24.807576,
202,e-,100.000000,100.000000,36.928144,0.061103,15,0,6.666667,4.253959,true,-0.000000,-0.000000,36.928144,17.066609,
203,e-,100.000000,100.000000,28.475117,0.059371,15,0,6.666667,4.483477,true,-0.000000,-0.000000,21.150850,16.876151,
204,e-,100.000000,100.000000,24.361631,0.047403,12,0,8.333333,5.837957,true,0.000000,0.000000,13.796567,20.578554,
205,e-,100.000000,100.000000,32.089197,0.065157,15,0,6.666667,5.516104,true,0.000000,0.000000,31.838583,24.246025,
206,e-,100.000000,100.000000,32.995547,0.057675,14,0,7.142857,4.684034,true,0.000000,0.000000,32.323741,17.392613,
207,e-,100.000000,100.000000,21.922232,0.062418,15,0,6.666667,4.417457,true,0.000000,0.000000,14.149279,16.879591,
208,e-,100.000000,100.000000,27.006931,0.057002,14,0,7.142857,4.658116,true,0.000000,0.000000,25.625730,17.199109,
209,e-,100.000000,100.000000,18.214489,0.047656,12,0,8.333333,5.467459,true,0.000000,0.000000,15.182641,19.697727,
